City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Dongying,CN,2021-09-22 20:45:02,37.4564,118.4856,68.56,65,100,6.44
107,Muroto,JP,2021-09-22 20:45:02,33.2833,134.15,75.4,69,0,3.24
108,Huainan,CN,2021-09-22 20:45:04,32.6264,116.9969,72.14,73,38,6.67
109,La Grande,US,2021-09-22 20:44:13,45.3246,-118.0877,77.58,29,93,11.88
110,Charters Towers,AU,2021-09-22 20:45:05,-20.1,146.2667,54.79,49,35,6.17
111,Bethel,US,2021-09-22 20:45:05,41.3712,-73.414,79.02,77,99,1.01
112,Santa Cruz,BO,2021-09-22 20:41:24,-17.8,-63.1667,87.26,42,86,9.22
113,Georgetown,MY,2021-09-22 20:45:04,5.4112,100.3354,79.9,82,20,3.44
114,Husavik,IS,2021-09-22 20:45:06,66.0449,-17.3389,39.11,89,98,8.63
115,Leningradskiy,RU,2021-09-22 20:45:06,69.3833,178.4167,22.24,72,93,6.46
116,Souillac,MU,2021-09-22 20:45:07,-20.5167,57.5167,71.37,78,40,11.5
117,Kendari,ID,2021-09-22 20:45:07,-3.945,122.4989,72.61,95,100,3.8
118,Kharp,RU,2021-09-22 20:45:07,66.8014,65.8081,34.9,92,53,9.91
119,Hanting,CN,2021-09-22 20:45:08,36.7708,119.2108,65.32,69,95,6.98
120,Denpasar,ID,2021-09-22 20:43:25,-8.65,115.2167,80.26,94,75,14.97
121,Tchaourou,BJ,2021-09-22 20:45:08,8.8865,2.5975,71.19,96,100,3.31
122,Nikolskoye,RU,2021-09-22 20:45:09,59.7035,30.7861,44.49,72,100,3.2
123,Ishigaki,JP,2021-09-22 20:45:09,24.3448,124.1572,84.07,71,6,3.51
124,Tiksi,RU,2021-09-22 20:45:09,71.6872,128.8694,34.84,85,98,3.71
125,Haines Junction,CA,2021-09-22 20:41:05,60.7522,-137.5108,35.55,75,98,3.44
126,San Isidro,PE,2021-09-22 20:45:10,-12.1167,-77.05,65.25,76,75,1.01
127,Longyearbyen,SJ,2021-09-22 20:45:10,78.2186,15.6401,42.64,75,40,17.27
128,Saint-Augustin,CA,2021-09-22 20:42:32,51.226,-58.6502,63.54,72,66,15.99
129,Pavino,RU,2021-09-22 20:45:11,59.1139,46.1414,43.34,83,100,8.48
130,Furstenwalde,DE,2021-09-22 20:45:11,52.3667,14.0667,57.13,82,23,6.51
131,Smoky Lake,CA,2021-09-22 20:43:12,54.1169,-112.4686,68.49,48,100,10.36
132,Sao Filipe,CV,2021-09-22 20:41:27,14.8961,-24.4956,79.39,80,26,6.17
133,Aguadilla,PR,2021-09-22 20:45:12,18.4275,-67.1541,88.68,77,40,7.0
134,Flinders,AU,2021-09-22 20:45:13,-34.5833,150.8552,56.05,65,0,5.73
135,Butaritari,KI,2021-09-22 20:40:37,3.0707,172.7902,82.71,67,97,15.82
136,Goulburn,AU,2021-09-22 20:45:13,-34.75,149.7167,44.15,89,5,11.41
137,Nanortalik,GL,2021-09-22 20:40:53,60.1432,-45.2371,43.36,92,100,10.63
138,Roma,US,2021-09-22 20:43:53,43.2128,-75.4557,79.39,75,75,6.91
139,Ilulissat,GL,2021-09-22 20:45:14,69.2167,-51.1,28.42,46,75,5.75
140,Danilov,RU,2021-09-22 20:45:14,58.1908,40.1717,42.98,98,100,6.98
141,Sidi Ali,DZ,2021-09-22 20:45:15,36.0998,0.4206,72.86,70,3,5.32
142,Bluff,NZ,2021-09-22 20:45:15,-46.6,168.3333,43.81,71,15,8.77
143,Walvis Bay,NA,2021-09-22 20:45:16,-22.9575,14.5053,55.09,87,7,5.75
144,Aklavik,CA,2021-09-22 20:45:16,68.2191,-135.0107,36.43,79,100,13.78
145,Ribeira Grande,PT,2021-09-22 20:45:16,38.5167,-28.7,72.0,83,20,16.11
146,Kruisfontein,ZA,2021-09-22 20:45:17,-34.0033,24.7314,55.89,81,68,5.57
147,Mar Del Plata,AR,2021-09-22 20:43:42,-38.0023,-57.5575,59.02,67,90,3.44
148,Berlevag,NO,2021-09-22 20:42:23,70.8578,29.0864,48.15,66,0,34.52
149,Santa Isabel,BR,2021-09-22 20:45:17,-23.3156,-46.2214,64.11,79,32,10.94
150,Llata,PE,2021-09-22 20:45:18,-9.4167,-76.7833,49.89,94,100,2.95
151,Aykhal,RU,2021-09-22 20:45:19,66.0,111.5,31.3,82,72,5.44
152,Whitehorse,CA,2021-09-22 20:42:38,60.7161,-135.0538,32.77,86,90,8.05
153,Porto Santo,PT,2021-09-22 20:45:19,33.072,-16.3415,71.51,73,40,12.66
154,Harper,LR,2021-09-22 20:45:19,4.375,-7.7169,77.86,86,62,5.91
155,Poronaysk,RU,2021-09-22 20:41:56,49.2167,143.1167,47.84,89,100,11.81
156,Upata,VE,2021-09-22 20:45:20,8.0086,-62.3989,84.16,61,15,3.74
157,Lososina,RU,2021-09-22 20:45:20,48.9975,140.3106,50.34,79,100,15.21
158,Dayong,CN,2021-09-22 20:45:21,25.0209,118.2898,82.08,93,68,1.81
159,Sabang,ID,2021-09-22 20:45:21,5.8933,95.3214,81.43,74,100,7.76
160,Pevek,RU,2021-09-22 20:45:22,69.7008,170.3133,28.29,63,100,7.14
161,Bathsheba,BB,2021-09-22 20:45:22,13.2167,-59.5167,88.41,66,40,11.5
162,Matamoros,MX,2021-09-22 20:45:23,25.5333,-103.25,79.81,39,95,13.35
163,Howell,US,2021-09-22 20:45:23,42.6073,-83.9294,55.09,95,90,10.36
164,Calama,CL,2021-09-22 20:43:28,-22.4667,-68.9333,69.3,15,95,13.65
165,Havre-Saint-Pierre,CA,2021-09-22 20:44:08,50.2334,-63.5986,62.96,72,1,12.66
166,Mehamn,NO,2021-09-22 20:45:24,71.0357,27.8492,48.38,87,75,29.93
167,Tezu,IN,2021-09-22 20:45:24,27.9167,96.1667,76.57,72,98,2.06
168,Praia,CV,2021-09-22 20:45:25,14.9215,-23.5087,81.14,74,0,10.36
169,Geraldton,AU,2021-09-22 20:45:25,-28.7667,114.6,46.81,66,0,5.75
170,Cheremkhovo,RU,2021-09-22 20:45:25,53.1561,103.0675,33.12,87,12,1.99
171,Mandera,KE,2021-09-22 20:45:26,3.9366,41.867,82.27,55,100,24.27
172,Kudahuvadhoo,MV,2021-09-22 20:45:26,2.6708,72.8944,82.85,76,100,12.62
173,Sakakah,SA,2021-09-22 20:45:26,29.9697,40.2064,87.37,16,0,9.24
174,Lorengau,PG,2021-09-22 20:42:05,-2.0226,147.2712,80.82,79,95,6.17
175,Saint-Pierre,RE,2021-09-22 20:45:27,-21.3393,55.4781,67.64,69,20,5.75
176,Ponta Do Sol,PT,2021-09-22 20:45:27,32.6667,-17.1,72.23,66,100,5.97
177,Debre Tabor,ET,2021-09-22 20:45:28,11.85,38.0167,53.67,79,77,2.89
178,Anjozorobe,MG,2021-09-22 20:45:28,-18.4,47.8667,61.12,87,97,2.86
179,Rapar,IN,2021-09-22 20:45:29,23.5667,70.6333,81.63,76,62,11.77
