City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Grafton,US,65.77,overcast clouds,42.207,-71.6856,The Grafton Inn
344,San Marcos,US,79.61,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
347,Nabire,ID,76.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
348,Betioky,MG,74.14,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
350,Half Moon Bay,US,81.25,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
354,Port Said,EG,76.98,clear sky,31.2565,32.2841,Aracan Hotel
355,Komsomolskiy,UZ,65.12,clear sky,40.4272,71.7189,Ikathouse
356,Moerai,PF,74.98,clear sky,-22.4333,-151.3333,Le Manotel
360,Ukiah,US,81.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
365,Sampit,ID,75.07,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
370,Mandawar,IN,78.4,clear sky,29.5,78.1333,Taj Hotel
371,Lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
374,Amethi,IN,77.32,clear sky,26.15,81.8167,Taj Hotel
376,Shingu,JP,71.65,overcast clouds,33.7333,135.9833,Shingu UI Hotel
378,Tulagi,SB,81.73,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
382,Goderich,CA,70.03,clear sky,43.7501,-81.7165,Harmony Inn
389,Pacific Grove,US,81.61,clear sky,36.6177,-121.9166,Lovers Point Inn
390,Moyale,KE,74.52,broken clouds,3.5167,39.0584,La Tahzan Guest House
391,Ugoofaaru,MV,81.57,scattered clouds,5.6667,73.0,Ungoofaaru Inn
394,Ryotsu,JP,71.31,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
395,Lewistown,US,72.93,clear sky,40.5992,-77.5714,Quality Inn & Suites
398,Ypsonas,CY,74.37,clear sky,34.6884,32.9574,Club Aphrodite
399,Buala,SB,80.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
400,Kochinda,IN,75.24,overcast clouds,21.7333,84.35,Shristi Lodge
401,Teguise,ES,70.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
404,Sungai Padi,TH,76.82,overcast clouds,6.0851,101.8766,237บอล&บาส
406,Lumphat,KH,73.51,scattered clouds,13.4878,106.9816,Lumphat Homestay
409,Mahibadhoo,MV,82.31,overcast clouds,3.7833,72.9667,Omadhoo Inn
410,Hobyo,SO,79.47,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
412,Sao Joao Da Barra,BR,80.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
413,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
414,Dawlatabad,AF,66.47,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
415,San Jose,US,81.48,scattered clouds,37.3394,-121.895,The Westin San Jose
418,Escalerillas,MX,76.51,few clouds,22.1333,-101.0667,Hilton San Luis Potosi
419,Megalopoli,GR,69.31,overcast clouds,37.4011,22.1422,Leto Hotel
422,Rawson,AR,73.63,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
428,Bay Roberts,CA,71.35,broken clouds,47.5999,-53.2648,Stonewall Inn
430,Mantua,IT,70.92,clear sky,45.1667,10.7833,Hotel la Favorita
431,Lima,PE,66.38,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
432,Kijang,KR,73.13,light rain,35.2442,129.2139,Samyang Beach Villa
436,Tabou,CI,76.75,moderate rain,4.423,-7.3528,hotêl doufoulougou
438,Caravelas,BR,76.59,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
