City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Tura,IN,25.5198,90.2201,72.14,85,92,1.19,overcast clouds
138,Gibsons,CA,49.3997,-123.5027,55.0,78,100,5.01,overcast clouds
139,Yellowknife,CA,62.456,-114.3525,49.41,100,90,4.61,mist
140,Chandur Bazar,IN,21.2417,77.7456,73.96,91,58,2.26,broken clouds
141,Pangoa,PE,-12.1167,-73.0,82.18,64,100,1.9,overcast clouds
142,Natal,BR,-5.795,-35.2094,83.05,74,75,19.57,broken clouds
143,Lososina,RU,48.9975,140.3106,59.09,97,99,9.53,overcast clouds
144,Trabzon,TR,40.9167,39.8333,55.49,82,75,5.75,broken clouds
145,Taksimo,RU,56.3444,114.8794,31.24,80,98,4.05,overcast clouds
146,Oktyabrskiy,RU,54.4815,53.471,36.36,64,100,3.67,overcast clouds
147,Talnakh,RU,69.4865,88.3972,32.22,93,100,14.79,snow
148,Avarua,CK,-21.2078,-159.775,77.05,78,82,4.61,broken clouds
149,Izhma,RU,65.0083,53.9113,42.4,97,98,5.01,overcast clouds
150,Pavilosta,LV,56.8879,21.1859,51.75,63,100,16.58,overcast clouds
151,Mont-De-Marsan,FR,44.0,-0.6667,62.42,94,90,3.44,overcast clouds
152,Zhezkazgan,KZ,47.8043,67.7144,47.17,56,100,9.75,overcast clouds
153,Bolotnoye,RU,55.6717,84.3981,41.85,97,100,6.98,light rain
154,Cangzhou,CN,38.3167,116.8667,64.02,90,0,6.93,clear sky
155,Bintulu,MY,3.1667,113.0333,77.41,100,40,5.01,scattered clouds
156,Toktogul,KG,41.8708,72.9402,61.18,48,1,1.19,clear sky
157,Waldkirch,DE,48.0959,7.9637,56.91,91,56,3.87,broken clouds
158,Naryan-Mar,RU,67.6713,53.087,43.99,91,100,9.37,overcast clouds
159,Bredasdorp,ZA,-34.5322,20.0403,58.32,72,100,17.27,overcast clouds
160,New Norfolk,AU,-42.7826,147.0587,48.7,70,100,1.79,overcast clouds
161,Ketchikan,US,55.3422,-131.6461,53.58,93,90,16.11,moderate rain
162,Sisimiut,GL,66.9395,-53.6735,33.22,57,100,4.92,overcast clouds
163,Hithadhoo,MV,-0.6,73.0833,81.34,75,100,2.75,overcast clouds
164,Muros,ES,42.7762,-9.0603,66.83,80,93,9.73,overcast clouds
165,Praia,CV,14.9215,-23.5087,82.94,74,40,11.5,scattered clouds
166,Nelson Bay,AU,-32.7167,152.15,59.09,94,100,11.27,overcast clouds
167,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,90.01,49,100,3.27,overcast clouds
168,Cape Town,ZA,-33.9258,18.4232,61.27,58,20,14.97,few clouds
169,Vardo,NO,70.3705,31.1107,46.15,87,0,6.91,clear sky
170,Nanortalik,GL,60.1432,-45.2371,37.06,66,3,8.95,clear sky
171,Anjozorobe,MG,-18.4,47.8667,59.32,92,61,3.53,broken clouds
172,Isangel,VU,-19.55,169.2667,71.71,78,61,6.91,broken clouds
173,Emerald,AU,-23.5333,148.1667,66.34,88,40,9.22,scattered clouds
174,Sola,VU,-13.8833,167.55,79.39,80,86,20.56,overcast clouds
175,Andrews,US,32.3187,-102.5457,90.64,24,1,13.8,clear sky
176,Khor,RU,47.8861,134.9464,52.97,95,100,9.42,overcast clouds
177,Oranjemund,NA,-28.55,16.4333,56.64,90,78,7.56,broken clouds
178,Saint George,US,37.1041,-113.5841,77.47,33,1,1.01,clear sky
179,Januaria,BR,-15.4833,-44.3667,94.39,23,50,3.83,scattered clouds
180,Padang,ID,-0.9492,100.3543,75.25,90,100,4.76,heavy intensity rain
181,Souillac,MU,-20.5167,57.5167,71.98,78,40,11.5,scattered clouds
182,Lahaina,US,20.8783,-156.6825,85.24,80,0,5.3,clear sky
183,Codrington,AU,-38.2667,141.9667,52.97,96,100,22.84,moderate rain
184,Sindor,RU,62.8629,51.8905,40.59,91,100,5.06,overcast clouds
185,San Patricio,US,28.017,-97.5169,86.41,56,0,12.95,clear sky
186,Sur,OM,22.5667,59.5289,85.59,61,96,5.35,overcast clouds
187,Garowe,SO,8.4054,48.4845,79.68,61,46,13.18,light rain
188,Cabo San Lucas,MX,22.8909,-109.9124,90.18,65,7,4.97,clear sky
189,Seoul,KR,37.5683,126.9778,65.59,100,4,2.3,fog
190,Mahebourg,MU,-20.4081,57.7,71.89,78,40,11.5,scattered clouds
191,Sorland,NO,67.667,12.6934,52.83,80,100,12.03,overcast clouds
192,Mayo,US,38.8876,-76.5119,74.34,49,1,1.01,clear sky
193,Kavieng,PG,-2.5744,150.7967,81.55,81,96,12.84,moderate rain
194,Kleive,NO,62.7954,7.6359,55.72,71,0,8.05,clear sky
195,Vanimo,PG,-2.6741,141.3028,76.84,91,35,4.97,scattered clouds
196,Jiuquan,CN,39.7432,98.5174,60.15,22,100,2.51,overcast clouds
197,Hailin,CN,44.5833,129.4167,47.21,92,5,3.27,clear sky
198,Minyar,RU,55.0709,57.5485,31.78,82,41,1.12,scattered clouds
199,Rodino,RU,52.5,80.25,40.01,78,100,9.95,overcast clouds
200,Pervomayskiy,RU,53.2485,40.2871,38.12,70,20,4.43,few clouds
201,Tonj,SS,7.2737,28.6822,72.16,95,89,6.78,light rain
202,Luan,CH,46.3592,6.9759,52.43,87,64,2.68,broken clouds
203,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,11.5,scattered clouds
204,Malanje,AO,-9.5402,16.341,76.51,48,81,8.16,broken clouds
205,Petukhovo,RU,55.0692,67.9019,35.76,87,88,7.72,overcast clouds
206,Tautira,PF,-17.7333,-149.15,82.42,75,23,16.69,few clouds
207,Harper,LR,4.375,-7.7169,76.78,89,100,9.06,moderate rain
208,Lasa,IT,46.6166,10.7002,58.91,90,80,4.63,broken clouds
209,Bradley,US,35.1501,-84.8666,84.9,57,0,5.39,clear sky
210,Iquitos,PE,-3.7481,-73.2472,84.24,70,75,3.44,broken clouds
211,Thompson,CA,55.7435,-97.8558,68.16,56,75,6.91,broken clouds
212,Weatherford,US,32.7593,-97.7972,90.72,51,1,1.01,clear sky
213,Saint Anthony,US,45.0205,-93.218,86.14,50,1,5.99,clear sky
214,Chuy,UY,-33.6971,-53.4616,60.22,76,76,11.3,broken clouds
215,Khatanga,RU,71.9667,102.5,29.98,92,100,13.96,light snow
216,Torbay,CA,47.6666,-52.7314,70.57,84,40,10.36,scattered clouds
217,Saskylakh,RU,71.9167,114.0833,19.78,93,94,3.83,overcast clouds
218,Kaohsiung,TW,22.6163,120.3133,82.04,88,40,1.01,scattered clouds
219,Akyab,MM,20.15,92.9,79.3,82,85,3.36,overcast clouds
220,Labuhan,ID,-6.8844,112.2051,77.68,83,84,7.63,broken clouds
221,Nishihara,JP,26.1842,127.7558,79.88,95,20,5.75,few clouds
222,Mosquera,CO,4.7059,-74.2302,60.89,77,75,10.36,broken clouds
223,Yulara,AU,-25.2406,130.9889,53.44,37,3,5.75,clear sky
224,Port Hardy,CA,50.6996,-127.4199,55.58,76,75,17.27,broken clouds
225,Alpena,US,45.0617,-83.4327,70.12,53,1,4.0,clear sky
226,Yoichi,JP,43.2039,140.7703,66.22,89,100,9.89,overcast clouds
227,Igarka,RU,67.4667,86.5833,29.16,87,54,7.63,broken clouds
228,Itacarambi,BR,-15.1022,-44.0919,93.47,24,49,5.46,scattered clouds
229,Shahr-E Kord,IR,32.3256,50.8644,56.97,17,0,4.61,clear sky
230,Norman Wells,CA,65.282,-126.8329,33.84,75,75,0.0,broken clouds
231,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,72.43,74,44,13.42,scattered clouds
232,Mgachi,RU,51.05,142.2667,58.6,85,99,8.14,overcast clouds
233,Alyangula,AU,-13.8483,136.4192,71.47,94,13,0.0,few clouds
234,Flinders,AU,-34.5833,150.8552,61.21,88,100,1.01,overcast clouds
235,Sabha,LY,27.0377,14.4283,81.93,20,0,3.33,clear sky
236,Tigre,AR,-34.426,-58.5796,73.2,65,20,11.5,few clouds
237,Merauke,ID,-8.4667,140.3333,76.89,90,100,9.71,overcast clouds
238,Grindavik,IS,63.8424,-22.4338,42.75,81,75,19.57,broken clouds
239,Camacupa,AO,-12.0167,17.4833,70.99,41,8,3.09,clear sky
240,Leningradskiy,RU,69.3833,178.4167,26.87,97,100,12.77,light snow
241,Iskateley,RU,67.6803,53.1512,43.9,91,100,9.35,overcast clouds
242,Tonosho,JP,34.4833,134.1833,75.02,77,0,13.02,clear sky
243,Toora-Khem,RU,52.4675,96.11,25.68,42,25,1.83,scattered clouds
244,Mar Del Plata,AR,-38.0023,-57.5575,59.02,27,20,28.99,few clouds
245,Yurginskoye,RU,56.8189,67.3921,38.26,85,99,6.76,overcast clouds
246,Puerto Suarez,BO,-18.95,-57.8,98.96,44,20,6.91,smoke
247,Vytegra,RU,61.0064,36.4481,43.02,93,57,3.51,broken clouds
248,Boddam,GB,57.4667,-1.7833,51.71,79,6,11.88,clear sky
249,Husavik,IS,66.0449,-17.3389,40.91,75,68,14.85,broken clouds
250,Srednekolymsk,RU,67.45,153.6833,16.84,97,89,3.67,overcast clouds
251,Mukhen,RU,48.1,136.1,57.54,97,99,5.32,overcast clouds
252,Sinegorye,RU,62.0788,150.477,19.85,62,100,2.71,overcast clouds
253,Umm Lajj,SA,25.0213,37.2685,81.23,67,0,9.24,clear sky
254,Hollins,US,37.3413,-79.9431,84.18,63,40,9.22,scattered clouds
255,Alofi,NU,-19.0595,-169.9187,75.09,94,90,3.44,shower rain
256,Sosnovo-Ozerskoye,RU,52.5249,111.5418,24.73,87,72,7.2,broken clouds
257,General Roca,AR,-39.0333,-67.5833,77.4,12,0,16.24,clear sky
258,Peniche,PT,39.3558,-9.3811,67.48,87,43,19.04,scattered clouds
259,Barcelos,PT,41.5388,-8.6151,67.91,83,89,6.4,overcast clouds
260,Xining,CN,36.6167,101.7667,51.19,54,9,2.51,clear sky
261,Fortuna,US,40.5982,-124.1573,70.41,53,20,5.99,few clouds
262,Ludvika,SE,60.1496,15.1878,51.6,94,100,10.29,overcast clouds
263,Mahina,PF,-17.5065,-149.489,82.17,69,40,5.75,scattered clouds
264,Krumovgrad,BG,41.4667,25.65,64.35,70,77,8.32,broken clouds
265,Kieta,PG,-6.2167,155.6333,78.69,86,73,3.6,light rain
266,Koutsouras,GR,35.0339,25.9469,74.1,60,3,13.96,clear sky
267,Wattegama,LK,6.7989,81.4808,78.31,76,100,1.86,overcast clouds
268,Saint-Joseph,RE,-21.3667,55.6167,70.16,76,35,12.17,scattered clouds
269,Bilibino,RU,68.0546,166.4372,1.36,97,100,2.44,overcast clouds
270,Odweyne,SO,9.4092,45.064,77.38,50,83,13.82,broken clouds
271,Nome,US,64.5011,-165.4064,33.87,70,90,9.22,overcast clouds
272,Piacenza,IT,45.0468,9.6994,72.01,77,0,5.91,clear sky
273,Montepulciano,IT,43.1017,11.7868,67.77,67,0,4.41,clear sky
274,Santa Maria,BR,-29.6842,-53.8069,74.5,60,75,13.8,broken clouds
275,Plettenberg Bay,ZA,-34.0527,23.3716,56.46,83,100,16.02,overcast clouds
276,Maragogi,BR,-9.0122,-35.2225,76.08,85,95,9.55,overcast clouds
277,Ancud,CL,-41.8697,-73.8203,49.53,90,100,14.0,overcast clouds
278,Grand Gaube,MU,-20.0064,57.6608,72.0,72,83,5.99,broken clouds
279,Jacqueville,CI,5.2052,-4.4146,78.71,89,92,7.56,overcast clouds
280,Wismar,DE,53.9,11.4667,53.19,93,77,4.0,broken clouds
281,Okakarara,NA,-20.5833,17.4333,70.65,19,37,10.74,scattered clouds
282,Coihaique,CL,-45.5752,-72.0662,54.21,46,75,8.05,broken clouds
283,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,16.11,overcast clouds
284,Itarema,BR,-2.9248,-39.9167,81.45,75,1,17.0,clear sky
285,Kota Kinabalu,MY,5.9749,116.0724,75.18,100,40,2.3,scattered clouds
286,Riyadh,SA,24.6877,46.7219,80.74,11,3,4.92,clear sky
287,Poum,NC,-20.2333,164.0167,73.22,72,9,16.33,clear sky
288,Kampot,KH,10.6167,104.1833,78.85,84,13,2.57,few clouds
289,Sundsvall,SE,62.3913,17.3063,51.96,97,90,8.05,overcast clouds
290,Atherton,GB,53.5237,-2.4935,51.42,79,54,1.01,broken clouds
291,Fort-Shevchenko,KZ,44.5086,50.263,52.54,61,10,11.25,clear sky
292,Curup,ID,-3.4667,102.5333,67.14,99,100,1.25,overcast clouds
293,Sao Filipe,CV,14.8961,-24.4956,79.72,80,51,6.11,broken clouds
